,Unnamed: 0,num_page,text,width,height,area,chars,char_size,pos_x,pos_y,aspect,layout,x0,x1,y0,y1,assureur,label
0,0,1,Rapport sur la Solvabilité et la Situation Financière ( SFCR ) ,0.68350168,0.06420926,0.0438871370815568,63,0.0006966212235167,0.56060606,0.36741973,10.644908226632724,h,0.21885522,0.9023569,0.3353151,0.33650416,camca-output-1-to-49,2
1,1,1,Groupe CAMCA au 31 décembre 2022 ,0.69023572,0.02497026,0.0172353653896872,33,0.0005222837996874,0.56397308,0.4274673,27.64231209446756,h,0.21885522,0.90909094,0.41736028,0.41498217,camca-output-1-to-49,2
2,2,1,Personne à contacter pour d'éventuels compléments d'information : ,0.50336698,0.0107015599999999,0.0053868119384888,66,8.161836270437575e-05,0.63215487,0.73543398,47.036785291116445,h,0.38047138,0.88383836,0.7300832,0.7300832,camca-output-1-to-49,1
3,3,1,Nom  Muriel Naud - Belouard ,0.20875422,0.0083233999999999,0.0017375448747479,28,6.205517409814271e-05,0.48484849,0.7651604999999999,25.080402239469503,h,0.38047138,0.5892256,0.7609988,0.7609988,camca-output-1-to-49,1
4,4,1,Fonction  Secrétaire Général Responsable Risques et Contrôles ,0.48148146,0.0107015,0.00515257384419,62,8.310602974500025e-05,0.6212121100000001,0.77942925,44.991960005606565,h,0.38047138,0.86195284,0.7740785,0.7740785,camca-output-1-to-49,1
5,5,1,E - mail : muriel.naud-belouard@ca-camca.fr ,0.32491585,0.0083234599999999,0.0027044240808409,44,6.14641836554769e-05,0.542929305,0.80677767,39.03615203292885,h,0.38047138,0.70538723,0.80261594,0.80261594,camca-output-1-to-49,1
6,6,1,CAMCA est une entité soumise au contrôle de l'Autorité de Contrôle Prudentiel et de Résolution ( ACPR ) ,0.50505052,0.02615927,0.0132117529163204,104,0.0001270360857338,0.63299664,0.8406658650000001,19.30675129695892,h,0.38047138,0.8855219,0.82758623,0.8287753,camca-output-1-to-49,1
7,7,2,Sommaire ,0.14646464,0.0178359149999999,0.0026123308695455,9,0.000290258985505,0.14225589,0.1076099875,8.211781677587052,h,0.06902357,0.21548821,0.09988109,0.09869203,camca-output-1-to-49,0
8,8,2,1. SYNTHESE .. ,0.1228956299999999,0.00951249,0.0011690434514187,15,7.79362300945801e-05,0.132154885,0.1379310349999999,12.919396498708522,h,0.07070707,0.1936027,0.13317479,0.13317479,camca-output-1-to-49,0
11,11,2,ACTIVITE ET RESULTATS ,0.1734006649999999,0.0095124699999999,0.0016494686237925,22,7.497584653602495e-05,0.1944444375,0.248513665,18.2287739146615,h,0.107744105,0.28114477,0.24375743,0.24375743,camca-output-1-to-49,0
12,12,2,2.1 . ,0.026936025,0.00832343,0.0002242001185657,6,3.7366686427625096e-05,0.1026936025,0.271700355,3.236168863076873,h,0.08922559,0.116161615,0.26753864,0.26753864,camca-output-1-to-49,0
13,13,2,PERIMETRE ,0.0690235599999999,0.00951249,0.0006565859242644,10,6.565859242644026e-05,0.17929292,0.271105825,7.256098035319847,h,0.14478114,0.2138047,0.26634958,0.26753864,camca-output-1-to-49,0
14,14,2,2.2 . ,0.0303030299999999,0.0083233999999999,0.0002522242399019,6,4.2037373316999896e-05,0.102693605,0.28715815,3.640703318355488,h,0.08754209,0.11784512,0.28299645,0.28299645,camca-output-1-to-49,0
15,15,2,PRESENTATION GENERALE ET ACTIVITE  ,0.25252524,0.0083233999999999,0.0021018685826159,35,6.005338807474272e-05,0.2710437599999999,0.28715815,30.33919311819696,h,0.14478114,0.39730638,0.28299645,0.28299645,camca-output-1-to-49,0
16,16,2,2.3 . FAITS MARQUANTS DE L'EXERCICE ET PERSPECTIVES .. 2.4 . OPERATIONS ET TRANSACTIONS AU SEIN DU GROUPE ... 2.5 . ,0.41245791,0.0404280699999999,0.0166748772575336,116,0.0001437489418752,0.293771045,0.319857315,10.20226565354221,h,0.08754209,0.5,0.29964328,0.29964328,camca-output-1-to-49,2
17,17,2,PERFORMANCE ASSOCIEE AUX PORTEFEUILLES DE CONTRATS  PERFORMANCE ASSOCIEE AUX ACTIVITES DE PLACEMENTS ,0.39562286,0.02497026,0.0098788056761436,101,9.780995718954068e-05,0.34259257,0.34423305,15.843762139441068,h,0.14478114,0.540404,0.33174792,0.33174792,camca-output-1-to-49,0
18,18,2,2.6 . ,0.026936025,0.0095124799999999,0.0002562283990919,6,4.270473318199996e-05,0.1026936025,0.35196194,2.831651157216628,h,0.08922559,0.116161615,0.3472057,0.3472057,camca-output-1-to-49,1
19,19,2,2.7 . ,0.0286195249999999,0.00832344,0.000238212899166,6,3.970214986100006e-05,0.1018518525,0.36801428,3.438425098276667,h,0.08754209,0.116161615,0.36385256,0.36385256,camca-output-1-to-49,1
20,20,2,PERFORMANCE ASSOCIEE A D'AUTRES ACTIVITES  ,0.31986532,0.00832344,0.0026623797991008,43,6.191580928141406e-05,0.3047138,0.36801428,38.4294618571167,h,0.14478114,0.46464646,0.36385256,0.36385256,camca-output-1-to-49,0
21,21,2,2.8 . ,0.0286195249999999,0.0083234299999999,0.0002382126129707,6,3.970210216179149e-05,0.1018518525,0.383472055,3.438429229296109,h,0.08754209,0.116161615,0.37931034,0.37931034,camca-output-1-to-49,1
